Polling Firm,Last Date of Polling,PC,NDP,Liberal,Green,Other,Margin of Error,Sample Size,Polling Type,Lead
Mainstreet Research,2025-02-26,44,17,30,6,4,2.7,1270,Smart IVR (rolling),14
Nanos Research,2025-02-26,48,15,26,6,4,3.9,630,telephone (rolling)/online,22
Forum Research,2025-02-26,41,20,32,5,3,4.0,1013,IVR,9
Pallas Data,2025-02-26,46,17,29,5,2,3.1,989,IVR,17
Research Co.,2025-02-26,46,17,30,5,2,3.9,701,online,16
Ipsos,2025-02-25,48,16,28,6,2,3.1,1501,Online,20
Relay Strategies,2025-02-25,48,16,28,8,,3.0,756,Online,20
Abacus Data,2025-02-25,45,16,29,5,5,3.1,1000,Online,16
Mainstreet Research,2025-02-25,42,18,31,5,4,2.5,1516,Smart IVR (rolling),11
Innovative Research,2025-02-24,42,18,32,6,2,4.0,917,Online,10
Mainstreet Research,2025-02-24,42,19,31,5,4,2.6,1414,Smart IVR (rolling),11
Leger,2025-02-23,47,17,28,6,2,3.09,1005,Online,19
Liaison Strategies,2025-02-23,42,18,32,5,3,3.45,805,IVR,10
Mainstreet Research,2025-02-23,42,19,32,4,4,2.7,1335,Smart IVR (rolling),10
Mainstreet Research,2025-02-22,43,17,30,5,4,2.8,1238,Smart IVR (rolling),13
Nanos Research,2025-02-22,44,20,29,5,3,3.3,920,telephone (rolling)/online,15
Mainstreet Research,2025-02-21,42,17,31,6,4,2.8,1245,Smart IVR (rolling),11
Nanos Research,2025-02-21,43,19,31,6,2,3.3,918,telephone (rolling)/online,12
Ipsos,2025-02-20,46,21,25,4,4,4.2,800,Online,21
Relay Strategies,2025-02-20,47,18,26,8,,3.0,975,Online,21
Nanos Research,2025-02-20,45,17,31,5,2,3.2,931,telephone (rolling)/online,14
Mainstreet Research,2025-02-20,40,19,29,7,5,2.8,1243,Smart IVR (rolling),11
Nanos Research,2025-02-19,44,17,31,7,2,3.2,936,telephone (rolling)/online,13
Mainstreet Research,2025-02-19,38,21,29,6,6,2.7,1291,Smart IVR (rolling),9
Relay Strategies,2025-02-18,47,17,27,9,,4.0,822,Online,20
Nanos Research,2025-02-18,46,16,30,7,2,3.2,929,telephone (rolling)/online,16
Mainstreet Research,2025-02-18,39,21,28,5,6,2.7,1281,Smart IVR (rolling),11
Leger,2025-02-17,48,16,28,5,3,3.09,1002,Online,20
Mainstreet Research,2025-02-17,41,18,30,5,6,2.7,1278,Smart IVR (rolling),11
Probe Research,2025-02-16,47,17,27,8,1,2.80,1200,Online,20
Innovative Research,2025-02-16,45,18,28,7,2,4.0,963,Online,17
Relay Strategies,2025-02-16,47,20,26,8,,4.0,704,Online,21
Nanos Research,2025-02-16,46,18,27,7,2,3.3,912,telephone (rolling)/online,19
Mainstreet Research,2025-02-16,41,18,31,6,5,2.8,1229,Smart IVR (rolling),10
Abacus Data,2025-02-15,41,21,28,6,3,2.8,1500,Online,13
Nanos Research,2025-02-15,45,18,30,5,2,3.3,915,telephone (rolling)/online,15
Mainstreet Research,2025-02-15,43,17,30,6,3,2.8,1228,Smart IVR (rolling),13
Mainstreet Research,2025-02-14,43,19,29,6,3,2.70,1272,Smart IVR (rolling),14
Nanos Research,2025-02-13,44,17,31,6,2,3.2,900,telephone (rolling)/online,13
Mainstreet Research,2025-02-13,44,17,29,6,4,2.7,1294,Smart IVR (rolling),15
Research Co.,2025-02-13,45,15,31,4,4,3.9,702,online,14
Pallas Data,2025-02-12,44.1,18.9,27.7,4.7,4.6,2.1,2193,IVR,16.4
Nanos Research,2025-02-12,45,17,29,6,2,3.2,938,telephone (rolling)/online,16
Mainstreet Research,2025-02-12,42,17,31,6,4,2.7,1314,Smart IVR (rolling),11
Relay Strategies,2025-02-11,49,19,24,9,,4.0,656,Online,25
Mainstreet Research,2025-02-11,41,16,32,7,4,2.7,1301,Smart IVR (rolling),9
Relay Strategies,2025-02-10,50,19,22,9,,4.0,656,Online,28
Mainstreet Research,2025-02-10,40,19,30,6,4,2.7,1303,Smart IVR (rolling),10
Nanos Research,2025-02-10,44,17,32,5,2,3.2,920,telephone (rolling)/online,12
Relay Strategies,2025-02-09,51,18,23,8,,4.0,656,Online,28
Leger,2025-02-09,47,17,26,6,4,3.09,1004,Online,21
Liaison Strategies,2025-02-09,41,18,31,6,4,2.82,1201,IVR,10
Nanos Research,2025-02-09,44,19,31,4,2,3.2,920,telephone (rolling)/online,13
Mainstreet Research,2025-02-09,44,18,26,7,4,2.7,1347,Smart IVR (rolling),18
Nanos Research,2025-02-08,44,20,28,5,3,3.3,913,telephone (rolling)/online,16
Mainstreet Research,2025-02-08,41,21,25,7,5,2.8,1187,Smart IVR (rolling),16
Mainstreet Research,2025-02-07,39,20,28,7,5,2.5,1262,Smart IVR (rolling),11
Abacus Data,2025-02-06,46,21,24,5,4,3.1,2000,Online,22
Mainstreet Research,2025-02-06,39,22,29,5,6,2.5,1236,Smart IVR (rolling),10
Nanos Research,2025-02-06,46,16,30,7,2,3.3,904,telephone (rolling)/online,16
Mainstreet Research,2025-02-05,42,19,29,5,5,2.8,1236,Smart IVR (rolling),13
Mainstreet Research,2025-02-04,45,16,29,5,5,2.9,1162,Smart IVR (rolling),16
Mainstreet Research,2025-02-03,44,15,30,5,7,3.0,1080,Smart IVR (rolling),14
Angus Reid,2025-02-03,43,21,26,5,5,2.0,1760,Online,17
Pallas Data,2025-02-02,45,21,28,5,2,3.1,1014,IVR,17
Mainstreet Research,2025-02-02,43,17,29,5,6,,1374,Smart IVR (rolling),14
Leger,2025-02-02,47,17,23,8,4,3.09,1004,Online,24
Mainstreet Research,2025-02-01,42,17,29,6,5,,1124,Smart IVR (rolling),13
Liaison Strategies,2025-02-01,43,16,31,5,5,2.74,1274,IVR,12
Mainstreet Research,2025-01-31,43,19,29,5,4,,1247,Smart IVR (rolling),14
Innovative Research,2025-01-31,49,19,22,9,1,,857,Online,27
Mainstreet Research,2025-01-30,38,20,30,6,5,2.4,1644,Smart IVR (rolling),8
Ipsos,2025-01-30,50,20,24,3,3,4.2,800,Online,26
Mainstreet Research,2025-01-29,38,22,29,5,6,,1460,Smart IVR,9
Innovative Research,2025-01-27,51,18,23,6,2,,1286,Online,28
Mainstreet Research,2025-01-26,36,23,29,6,6,3.2,936,Smart IVR,7
Abacus Data,2025-01-26,47,19,24,7,3,3.1,1021,Online,23
Campaign Research,2025-01-26,47,18,23,7,5,,1611,Online,24
Liaison Strategies,2025-01-23,39,18,33,5,5,2.71,1307,IVR,6
Yorkville Strategies,2025-01-23,48,15,25,7,5,4.0,600,Online,23
Leger,2025-01-19,46,19,22,7,6,3.08,1007,Online,24
Liaison Strategies,2025-01-16,41,19,32,5,4,2.83,1197,IVR,9
Campaign Research,2025-01-15,47,19,23,7,4,,1789,Online,24
Mainstreet Research,2025-01-15,40,21,30,5,4,3.2,943,Smart IVR,10
Liaison Strategies,2025-01-09,40,21,30,4,5,2.82,1202,IVR,10
Abacus Data,2024-12-04,43,21,25,6,5,2.6,1500,Online,18
Mainstreet Research,2024-12-02,42,22,27,6,3,3.6,742,Smart IVR,15
Abacus Data,2024-11-05,42,22,26,7,4,3.1,998,Online,16
Pallas Data,2024-10-15,41.5,21.6,27.7,7.1,2.1,3.1,996,IVR,13.8
Abacus Data,2024-10-10,44,22,24,7,4,3.1,997,Online,20
Angus Reid,2024-09-18,40,25,23,7,4,3.0,858,Online,15
Mainstreet Research,2024-09-17,41,18,30,5,6,3.5,764,Smart IVR,11
Abacus Data,2024-08-17,42,21,26,8,4,3.057,1028,Online,16
Liaison Strategies,2024-08-20,40,21,27,6,6,2.71,1300,IVR,13
Abacus Data,2024-07-21,44,19,26,7,4,3.1,1000,Online,18
Liaison Strategies,2024-06-27,39,21,28,7,5,2.77,1245,IVR,11
Abacus Data,2024-06-25,41,22,25,8,4,3.1,1000,Online,16
Pallas Data,2024-06-04,39.4,22.6,26.5,8.3,3.2,2.9,1136,IVR,12.9
Abacus Data,2024-05-15,39,22,26,9,4,3.1,1000,Online,13
Abacus Data,2024-04-16,41,21,25,7,5,3.1,995,Online,16
Liaison Strategies,2024-04-07,40,18,30,5,6,2.74,1280,IVR,10
Abacus Data,2024-03-21,41,21,27,7,5,2.5,1500,Online,14
Liaison Strategies,2024-03-09,39,21,29,5,6,2.74,1283,IVR,10
