Riding,PC,NDP,Liberal,Green,Other,Total,PC_Share,NDP_Share,Liberal_Share,Green_Share,Other_Share,Swing_PC,Swing_NDP,Swing_Liberal,Swing_Green,Swing_Other,Predicted_PC_Share,Predicted_NDP_Share,Predicted_Liberal_Share,Predicted_Green_Share,Predicted_Other_Share,Total_Predicted,Predicted_Winner,Win_Probability,margin
Ajax,15336,6291,13561,1305,1194,37687,0.4069307718842041,0.16692758776235836,0.35983230291612495,0.0346273250723061,0.0316820123650065,0.020376807741461753,-0.03858852000553756,0.03555860329303239,0.0033992824386985376,,0.4320322143199347,0.12975808122876806,0.39976264610413104,0.038447058347166316,,0.9890641611026486,PC,0.77,3.2269568215803677
Algoma—Manitoulin,8692,11252,2133,764,1658,24499,0.35478999142822154,0.45928405241030246,0.08706477815421038,0.03118494632433977,0.06767623168292583,0.08157613906669027,-0.0745743719477673,-0.0214140375001832,-0.007686258569523485,,0.47940456012702426,0.4226532772595656,0.0721258187695762,0.025816343843834026,,0.9102252393662904,PC,0.919,5.675128286745867
Aurora—Oak Ridges—Richmond Hill,17340,2501,10000,1268,1381,32559,0.5325716391781075,0.07681439847661169,0.3071347400104426,0.03894468503332412,0.04241530759544212,-0.03718120459597689,-0.03111899355076289,0.04449374775035428,-0.008337778985490065,,0.5365309674539449,0.04949025677846582,0.38083006766532596,0.033148708102263294,,0.9233212333166103,PC,1.0,15.570089978861896
Barrie—Innisfil,18225,6942,6564,2291,2131,36272,0.5024536832818703,0.19138729598588444,0.1809660344067049,0.06316166740185267,0.05875055138950155,-0.012229267163664383,-0.03237101437294761,0.060120303177217796,0.004278947676053904,,0.5118406493652891,0.16602803565947596,0.2517169351930032,0.07041437978223182,,0.957767650392972,PC,1.0,26.012371417228586
Barrie—Springwater—Oro-Medonte,16631,3093,16335,1699,1742,39500,0.4210379746835443,0.07830379746835443,0.41354430379746837,0.043012658227848104,0.04410126582278481,0.030121021618473496,-0.029431199483299045,0.02736770824723682,0.0025611634913455215,,0.45732491233668,0.049540531769024364,0.4469378842255221,0.04619667166877348,,0.9865174280509721,PC,0.607,1.038702811115788
Bay of Quinte,21381,9073,8003,2719,2190,43366,0.49303601900106075,0.20921920398468846,0.18454549647189042,0.06269888853018493,0.05050039201217544,-0.004220028163147996,-0.03284511138718173,0.06065712855046658,0.00423256362497936,,0.500157481557957,0.18046631783551895,0.25089180734933964,0.0684843932571844,,0.9773241606129408,PC,1.0,24.92656742086174
Beaches—East York,7536,13500,14398,4154,751,40648,0.18539657547726826,0.3321196614839598,0.35421176933674475,0.10219444991143475,0.018475693761070656,0.02118987372120111,0.017306955848366293,-0.020460634157135255,0.0303840462313361,,0.2020716239596386,0.34179010430268575,0.3264572005849465,0.12968107115272923,,1.0223426978531758,NDP,0.658,1.5332903717739266
Brampton Centre,10119,6522,6119,882,821,24463,0.41364509667661364,0.2666067121775743,0.2501328536974206,0.03605444957691207,0.03356088787147938,0.016153141827468284,-0.0786402646707184,0.06242353989279785,0.0016889565213945596,,0.443976868125202,0.19416727943598006,0.32286732775284566,0.03898852468597234,,0.9680644856994629,PC,0.997,12.110954037235633
Brampton East,12869,9017,6131,557,462,29036,0.44320843091334894,0.31054552968728477,0.2111516737842678,0.01918308306929329,0.01591128254580521,0.040438587775898656,-0.08239144776200773,0.08769641501227445,-0.003089962550391862,,0.471050052200767,0.22221162965499971,0.2910643555897935,0.01567396255443988,,1.0267423099299682,PC,1.0,17.998569661097353
Brampton North,13509,5949,8639,895,1033,30025,0.44992506244796004,0.19813488759367193,0.2877268942547877,0.02980849292256453,0.03440466278101582,0.014830545213083116,-0.05194204384860204,0.06027794856091567,-0.002529932895293666,,0.47124376043897515,0.14823374758705243,0.3528631135937834,0.02765937838018895,,0.9862318542490873,PC,0.999,11.838064684519173
Brampton South,12980,5475,7957,1028,974,28602,0.45381441857212784,0.19142018040696454,0.2781973288581218,0.035941542549472065,0.03405356268792392,0.0074326430211682885,-0.04967847181570653,0.053485295722452544,-0.0016159974578004357,,0.47600466278196907,0.14627673500414232,0.3422948111988784,0.03542379101501013,,0.9689969398568002,PC,0.999,13.370985158309068
Brampton West,14751,6398,8089,854,744,30836,0.4783694383188481,0.2074847580749773,0.2623232585289921,0.027694902062524323,0.024127643014658192,0.012108976072308366,-0.06680864643639915,0.07545548776398332,-0.0019432376415023933,,0.4930992681932229,0.1414278093916904,0.33958365489956127,0.025889267515525394,,0.9946849367437319,PC,1.0,15.351561329366165
Brantford—Brant,20738,13283,6083,3174,2886,46953,0.44167571827146296,0.28289992119779356,0.12955508700189552,0.06759951440802504,0.061465721040189124,0.0142756763846499,-0.03352243682173327,0.041319987971627614,-0.006670610163415797,,0.48653869154412843,0.2661068622027254,0.18233815351705754,0.06501629273608855,,0.9371328582503056,PC,1.0,22.043182934140304
Bruce—Grey—Owen Sound,20304,5817,8499,3702,3011,41811,0.485613833680132,0.1391260673028629,0.20327186625529167,0.08854129296118246,0.0720145416278013,-0.0010307605999200897,-0.031023204385221076,0.05436425761985296,0.020561501496064408,,0.5050766309556254,0.1126746533923245,0.26853184250161527,0.11371687315043479,,0.9594248543302453,PC,1.0,23.654478845401012
Burlington,22348,9262,15452,3515,1943,52520,0.4255140898705255,0.17635186595582636,0.2942117288651942,0.06692688499619193,0.036995430312262,0.02026616469773756,-0.042842703892005604,0.0568986304824832,-0.00920437144243895,,0.4511387500212275,0.1351140071203631,0.355330876619972,0.05841636623843732,,0.9881222895335143,PC,0.987,9.580787340125552
Cambridge,14590,8745,8155,3537,4374,39401,0.37029517017334584,0.22194868150554553,0.20697444227303877,0.0897692951955534,0.11101241085251644,0.020006574084859164,-0.04200957224729365,0.04971475282190131,0.024430187853333292,,0.4147162862583414,0.19119483897271206,0.2727458723371527,0.1213430024317937,,0.9411295316602838,PC,1.0,14.19704139211887
Carleton,22295,7256,12452,2537,1531,46306,0.48147108366086466,0.15669675635986696,0.2689068371269382,0.054787716494622725,0.03306267006435451,-0.004542483208027415,-0.04458562521625599,0.06069024153402179,-0.005015969651659346,,0.49248697458938867,0.1157684226575779,0.3403492010106212,0.05139540174241226,,0.9684085571003715,PC,1.0,15.213777357876745
Chatham-Kent—Leamington,17522,11163,0,1244,6941,36870,0.4752373203146189,0.30276647681041496,0.0,0.03374016815839436,0.18825603471657174,0.013039838041286517,-0.05623383213466088,0.018889399737599816,-0.0028656467720796185,,0.6223470699091171,0.3142249569230652,0.024076003511244552,0.03935196965657315,,0.784573724155574,PC,1.0,30.812211298605195
Davenport,4994,20242,6815,1710,1011,35473,0.1407831308319003,0.5706311842810025,0.19211794886251515,0.048205677557579006,0.028500549713866886,0.0654209115749142,-0.03800516580701056,0.0329417716267946,0.011332608546328131,,0.20148366940507847,0.5204332726466983,0.2199077078712444,0.058175350076978743,,1.0234280674740235,NDP,1.0,30.052556477545387
Don Valley East,9038,4355,12313,1139,810,28076,0.3219119532696965,0.15511468870209433,0.4385596238780453,0.040568457045163125,0.028850263570309162,0.020889823212749136,0.02647679676358526,0.004217824524780638,0.003099613411942979,,0.3391260634147933,0.179644359628265,0.4380297400628741,0.04319983689406748,,1.0108387808080574,Liberal,0.992,9.89036766480808
Don Valley North,15041,3133,11685,1179,690,31728,0.47406076651538076,0.09874558749369641,0.36828668683812404,0.03715960665658094,0.021747352496217853,0.012523416024488643,-0.03803946438600479,0.032557960087759207,0.000773107580108845,,0.4934592208199446,0.06156385119499158,0.4065082553843289,0.038468672600735096,,0.9860676668101339,PC,0.975,8.69509654356157
Don Valley West,14208,3392,16177,2025,673,36760,0.38650707290533187,0.09227421109902068,0.44007072905331884,0.055087051142546244,0.018307943416757344,0.018315131314583653,-0.03569636416104928,0.03571610773595906,0.0022675294099738057,,0.40704406708209956,0.05688837391901001,0.47839818837019027,0.05766937062870015,,0.9945414684996849,Liberal,0.948,7.135412128809071
